Calc_Ramp_Ex_nm	Calc_Ramp_Rt_nm	Defl_V_Ex	Defl_V_Rt	
0.000000e+00	4.990234e+02	-4.395000e-01	-1.410000e-01	
9.765625e-01	4.980469e+02	-4.440000e-01	-1.563750e-01	
1.953125e+00	4.970703e+02	-4.425000e-01	-1.770000e-01	
2.929688e+00	4.960938e+02	-4.425000e-01	-1.946250e-01	
3.906250e+00	4.951172e+02	-4.410000e-01	-2.118750e-01	
4.882813e+00	4.941406e+02	-4.421250e-01	-2.313750e-01	
5.859375e+00	4.931641e+02	-4.428750e-01	-2.486250e-01	
6.835938e+00	4.921875e+02	-4.447500e-01	-2.666250e-01	
7.812500e+00	4.912109e+02	-4.428750e-01	-2.861250e-01	
8.789063e+00	4.902344e+02	-4.440000e-01	-3.022500e-01	
9.765625e+00	4.892578e+02	-4.440000e-01	-3.217500e-01	
1.074219e+01	4.882813e+02	-4.447500e-01	-3.382500e-01	
1.171875e+01	4.873047e+02	-4.402500e-01	-3.566250e-01	
1.269531e+01	4.863281e+02	-4.421250e-01	-3.738750e-01	
1.367188e+01	4.853516e+02	-4.417500e-01	-3.926250e-01	
1.464844e+01	4.843750e+02	-4.458750e-01	-4.125000e-01	
1.562500e+01	4.833984e+02	-4.436250e-01	-4.286250e-01	
1.660156e+01	4.824219e+02	-4.436250e-01	-4.488750e-01	
1.757813e+01	4.814453e+02	-4.425000e-01	-4.668750e-01	
1.855469e+01	4.804688e+02	-4.440000e-01	-4.822500e-01	
1.953125e+01	4.794922e+02	-4.417500e-01	-5.010000e-01	
2.050781e+01	4.785156e+02	-4.432500e-01	-5.175000e-01	
2.148438e+01	4.775391e+02	-4.455000e-01	-5.381250e-01	
2.246094e+01	4.765625e+02	-4.443750e-01	-5.561250e-01	
2.343750e+01	4.755859e+02	-4.425000e-01	-5.745000e-01	
2.441406e+01	4.746094e+02	-4.447500e-01	-5.947500e-01	
2.539063e+01	4.736328e+02	-4.436250e-01	-6.116250e-01	
2.636719e+01	4.726563e+02	-4.436250e-01	-6.311250e-01	
2.734375e+01	4.716797e+02	-4.447500e-01	-6.480000e-01	
2.832031e+01	4.707031e+02	-4.451250e-01	-6.660000e-01	
2.929688e+01	4.697266e+02	-4.413750e-01	-6.825000e-01	
3.027344e+01	4.687500e+02	-4.413750e-01	-6.997500e-01	
3.125000e+01	4.677734e+02	-4.440000e-01	-7.185000e-01	
3.222656e+01	4.667969e+02	-4.425000e-01	-7.387500e-01	
3.320313e+01	4.658203e+02	-4.440000e-01	-7.582500e-01	
3.417969e+01	4.648438e+02	-4.425000e-01	-7.773750e-01	
3.515625e+01	4.638672e+02	-4.417500e-01	-7.972500e-01	
3.613281e+01	4.628906e+02	-4.436250e-01	-8.163750e-01	
3.710938e+01	4.619141e+02	-4.451250e-01	-8.332500e-01	
3.808594e+01	4.609375e+02	-4.443750e-01	-8.501250e-01	
3.906250e+01	4.599609e+02	-4.451250e-01	-8.673750e-01	
4.003906e+01	4.589844e+02	-4.440000e-01	-8.868750e-01	
4.101563e+01	4.580078e+02	-4.443750e-01	-9.060000e-01	
4.199219e+01	4.570313e+02	-4.425000e-01	-9.247500e-01	
4.296875e+01	4.560547e+02	-4.470000e-01	-9.453750e-01	
4.394531e+01	4.550781e+02	-4.458750e-01	-9.648750e-01	
4.492188e+01	4.541016e+02	-4.455000e-01	-9.828750e-01	
4.589844e+01	4.531250e+02	-4.447500e-01	-1.001625e+00	
4.687500e+01	4.521484e+02	-4.410000e-01	-1.019250e+00	
4.785156e+01	4.511719e+02	-4.428750e-01	-1.038375e+00	
4.882813e+01	4.501953e+02	-4.443750e-01	-1.056375e+00	
4.980469e+01	4.492188e+02	-4.428750e-01	-1.077000e+00	
5.078125e+01	4.482422e+02	-4.413750e-01	-1.096875e+00	
5.175781e+01	4.472656e+02	-4.413750e-01	-1.114125e+00	
5.273438e+01	4.462891e+02	-4.436250e-01	-1.135125e+00	
5.371094e+01	4.453125e+02	-4.406250e-01	-1.153500e+00	
5.468750e+01	4.443359e+02	-4.421250e-01	-1.172625e+00	
5.566406e+01	4.433594e+02	-4.425000e-01	-1.190625e+00	
5.664063e+01	4.423828e+02	-4.432500e-01	-1.208250e+00	
5.761719e+01	4.414063e+02	-4.462500e-01	-1.227000e+00	
5.859375e+01	4.404297e+02	-4.413750e-01	-1.243875e+00	
5.957031e+01	4.394531e+02	-4.428750e-01	-1.262625e+00	
6.054688e+01	4.384766e+02	-4.436250e-01	-1.281375e+00	
6.152344e+01	4.375000e+02	-4.440000e-01	-1.299375e+00	
6.250000e+01	4.365234e+02	-4.417500e-01	-1.317750e+00	
6.347656e+01	4.355469e+02	-4.428750e-01	-1.336125e+00	
6.445313e+01	4.345703e+02	-4.425000e-01	-1.354500e+00	
6.542969e+01	4.335938e+02	-4.440000e-01	-1.371375e+00	
6.640625e+01	4.326172e+02	-4.428750e-01	-1.390500e+00	
6.738281e+01	4.316406e+02	-4.440000e-01	-1.409625e+00	
6.835938e+01	4.306641e+02	-4.432500e-01	-1.426125e+00	
6.933594e+01	4.296875e+02	-4.402500e-01	-1.446375e+00	
7.031250e+01	4.287109e+02	-4.413750e-01	-1.461750e+00	
7.128906e+01	4.277344e+02	-4.421250e-01	-1.480125e+00	
7.226563e+01	4.267578e+02	-4.402500e-01	-1.498500e+00	
7.324219e+01	4.257813e+02	-4.428750e-01	-1.516500e+00	
7.421875e+01	4.248047e+02	-4.417500e-01	-1.536375e+00	
7.519531e+01	4.238281e+02	-4.425000e-01	-1.554000e+00	
7.617188e+01	4.228516e+02	-4.406250e-01	-1.573125e+00	
7.714844e+01	4.218750e+02	-4.421250e-01	-1.592625e+00	
7.812500e+01	4.208984e+02	-4.406250e-01	-1.609875e+00	
7.910156e+01	4.199219e+02	-4.402500e-01	-1.629000e+00	
8.007813e+01	4.189453e+02	-4.410000e-01	-1.645875e+00	
8.105469e+01	4.179688e+02	-4.428750e-01	-1.664625e+00	
8.203125e+01	4.169922e+02	-4.410000e-01	-1.683000e+00	
8.300781e+01	4.160156e+02	-4.443750e-01	-1.699875e+00	
8.398438e+01	4.150391e+02	-4.398750e-01	-1.718625e+00	
8.496094e+01	4.140625e+02	-4.413750e-01	-1.737375e+00	
8.593750e+01	4.130859e+02	-4.410000e-01	-1.757250e+00	
8.691406e+01	4.121094e+02	-4.402500e-01	-1.774875e+00	
8.789063e+01	4.111328e+02	-4.440000e-01	-1.792500e+00	
8.886719e+01	4.101563e+02	-4.406250e-01	-1.812000e+00	
8.984375e+01	4.091797e+02	-4.432500e-01	-1.828875e+00	
9.082031e+01	4.082031e+02	-4.425000e-01	-1.847625e+00	
9.179688e+01	4.072266e+02	-4.406250e-01	-1.866375e+00	
9.277344e+01	4.062500e+02	-4.425000e-01	-1.884375e+00	
9.375000e+01	4.052734e+02	-4.428750e-01	-1.902375e+00	
9.472656e+01	4.042969e+02	-4.421250e-01	-1.921125e+00	
9.570313e+01	4.033203e+02	-4.413750e-01	-1.939500e+00	
9.667969e+01	4.023438e+02	-4.455000e-01	-1.956750e+00	
9.765625e+01	4.013672e+02	-4.421250e-01	-1.975500e+00	
9.863281e+01	4.003906e+02	-4.413750e-01	-1.993125e+00	
9.960938e+01	3.994141e+02	-4.425000e-01	-2.009625e+00	
1.005859e+02	3.984375e+02	-4.458750e-01	-2.029125e+00	
1.015625e+02	3.974609e+02	-4.421250e-01	-2.047125e+00	
1.025391e+02	3.964844e+02	-4.413750e-01	-2.065500e+00	
1.035156e+02	3.955078e+02	-4.436250e-01	-2.083500e+00	
1.044922e+02	3.945313e+02	-4.455000e-01	-2.099625e+00	
1.054688e+02	3.935547e+02	-4.440000e-01	-2.119500e+00	
1.064453e+02	3.925781e+02	-4.410000e-01	-2.137875e+00	
1.074219e+02	3.916016e+02	-4.425000e-01	-2.155125e+00	
1.083984e+02	3.906250e+02	-4.436250e-01	-2.174625e+00	
1.093750e+02	3.896484e+02	-4.410000e-01	-2.193375e+00	
1.103516e+02	3.886719e+02	-4.402500e-01	-2.212875e+00	
1.113281e+02	3.876953e+02	-4.402500e-01	-2.232000e+00	
1.123047e+02	3.867188e+02	-4.413750e-01	-2.250750e+00	
1.132813e+02	3.857422e+02	-4.413750e-01	-2.268750e+00	
1.142578e+02	3.847656e+02	-4.425000e-01	-2.287125e+00	
1.152344e+02	3.837891e+02	-4.432500e-01	-2.306250e+00	
1.162109e+02	3.828125e+02	-4.406250e-01	-2.323500e+00	
1.171875e+02	3.818359e+02	-4.417500e-01	-2.341875e+00	
1.181641e+02	3.808594e+02	-4.425000e-01	-2.361750e+00	
1.191406e+02	3.798828e+02	-4.413750e-01	-2.379750e+00	
1.201172e+02	3.789063e+02	-4.440000e-01	-2.397750e+00	
1.210938e+02	3.779297e+02	-4.425000e-01	-2.415375e+00	
1.220703e+02	3.769531e+02	-4.432500e-01	-2.434125e+00	
1.230469e+02	3.759766e+02	-4.410000e-01	-2.452875e+00	
1.240234e+02	3.750000e+02	-4.425000e-01	-2.469750e+00	
1.250000e+02	3.740234e+02	-4.410000e-01	-2.489625e+00	
1.259766e+02	3.730469e+02	-4.402500e-01	-2.506875e+00	
1.269531e+02	3.720703e+02	-4.406250e-01	-2.524125e+00	
1.279297e+02	3.710938e+02	-4.443750e-01	-2.543625e+00	
1.289063e+02	3.701172e+02	-4.413750e-01	-2.560125e+00	
1.298828e+02	3.691406e+02	-4.406250e-01	-2.578125e+00	
1.308594e+02	3.681641e+02	-4.402500e-01	-2.596125e+00	
1.318359e+02	3.671875e+02	-4.402500e-01	-2.612625e+00	
1.328125e+02	3.662109e+02	-4.436250e-01	-2.630250e+00	
1.337891e+02	3.652344e+02	-4.436250e-01	-2.646750e+00	
1.347656e+02	3.642578e+02	-4.383750e-01	-2.666250e+00	
1.357422e+02	3.632813e+02	-4.425000e-01	-2.683875e+00	
1.367188e+02	3.623047e+02	-4.417500e-01	-2.703000e+00	
1.376953e+02	3.613281e+02	-4.436250e-01	-2.722125e+00	
1.386719e+02	3.603516e+02	-4.413750e-01	-2.739375e+00	
1.396484e+02	3.593750e+02	-4.402500e-01	-2.757750e+00	
1.406250e+02	3.583984e+02	-4.410000e-01	-2.773875e+00	
1.416016e+02	3.574219e+02	-4.402500e-01	-2.790750e+00	
1.425781e+02	3.564453e+02	-4.395000e-01	-2.809125e+00	
1.435547e+02	3.554688e+02	-4.395000e-01	-2.827125e+00	
1.445313e+02	3.544922e+02	-4.432500e-01	-2.846625e+00	
1.455078e+02	3.535156e+02	-4.402500e-01	-2.865000e+00	
1.464844e+02	3.525391e+02	-4.402500e-01	-2.883750e+00	
1.474609e+02	3.515625e+02	-4.406250e-01	-2.902500e+00	
1.484375e+02	3.505859e+02	-4.417500e-01	-2.920500e+00	
1.494141e+02	3.496094e+02	-4.432500e-01	-2.938875e+00	
1.503906e+02	3.486328e+02	-4.410000e-01	-2.954250e+00	
1.513672e+02	3.476563e+02	-4.413750e-01	-1.577250e+00	
1.523438e+02	3.466797e+02	-4.413750e-01	-4.556250e-01	
1.533203e+02	3.457031e+02	-4.402500e-01	-4.545000e-01	
1.542969e+02	3.447266e+02	-4.406250e-01	-4.533750e-01	
1.552734e+02	3.437500e+02	-4.387500e-01	-4.530000e-01	
1.562500e+02	3.427734e+02	-4.421250e-01	-4.511250e-01	
1.572266e+02	3.417969e+02	-4.421250e-01	-4.500000e-01	
1.582031e+02	3.408203e+02	-4.428750e-01	-4.530000e-01	
1.591797e+02	3.398438e+02	-4.398750e-01	-4.530000e-01	
1.601563e+02	3.388672e+02	-4.417500e-01	-4.530000e-01	
1.611328e+02	3.378906e+02	-4.413750e-01	-4.537500e-01	
1.621094e+02	3.369141e+02	-4.421250e-01	-4.492500e-01	
1.630859e+02	3.359375e+02	-4.417500e-01	-4.496250e-01	
1.640625e+02	3.349609e+02	-4.410000e-01	-4.515000e-01	
1.650391e+02	3.339844e+02	-4.395000e-01	-4.481250e-01	
1.660156e+02	3.330078e+02	-4.372500e-01	-4.507500e-01	
1.669922e+02	3.320313e+02	-4.410000e-01	-4.503750e-01	
