Calc_Ramp_Ex_nm	Calc_Ramp_Rt_nm	Defl_V_Ex	Defl_V_Rt	
0.000000e+00	4.990234e+02	-6.198750e-01	-3.217500e-01	
9.765625e-01	4.980469e+02	-6.206250e-01	-3.303750e-01	
1.953125e+00	4.970703e+02	-6.195000e-01	-3.393750e-01	
2.929688e+00	4.960938e+02	-6.198750e-01	-3.476250e-01	
3.906250e+00	4.951172e+02	-6.202500e-01	-3.570000e-01	
4.882813e+00	4.941406e+02	-6.217500e-01	-3.656250e-01	
5.859375e+00	4.931641e+02	-6.217500e-01	-3.746250e-01	
6.835938e+00	4.921875e+02	-6.210000e-01	-3.832500e-01	
7.812500e+00	4.912109e+02	-6.206250e-01	-3.926250e-01	
8.789063e+00	4.902344e+02	-6.210000e-01	-4.023750e-01	
9.765625e+00	4.892578e+02	-6.198750e-01	-4.110000e-01	
1.074219e+01	4.882813e+02	-6.202500e-01	-4.196250e-01	
1.171875e+01	4.873047e+02	-6.202500e-01	-4.282500e-01	
1.269531e+01	4.863281e+02	-6.195000e-01	-4.372500e-01	
1.367188e+01	4.853516e+02	-6.195000e-01	-4.462500e-01	
1.464844e+01	4.843750e+02	-6.213750e-01	-4.552500e-01	
1.562500e+01	4.833984e+02	-6.206250e-01	-4.646250e-01	
1.660156e+01	4.824219e+02	-6.195000e-01	-4.728750e-01	
1.757813e+01	4.814453e+02	-6.217500e-01	-4.807500e-01	
1.855469e+01	4.804688e+02	-6.217500e-01	-4.897500e-01	
1.953125e+01	4.794922e+02	-6.221250e-01	-4.976250e-01	
2.050781e+01	4.785156e+02	-6.210000e-01	-5.062500e-01	
2.148438e+01	4.775391e+02	-6.221250e-01	-5.141250e-01	
2.246094e+01	4.765625e+02	-6.213750e-01	-5.212500e-01	
2.343750e+01	4.755859e+02	-6.217500e-01	-5.306250e-01	
2.441406e+01	4.746094e+02	-6.232500e-01	-5.381250e-01	
2.539063e+01	4.736328e+02	-6.221250e-01	-5.467500e-01	
2.636719e+01	4.726563e+02	-6.221250e-01	-5.553750e-01	
2.734375e+01	4.716797e+02	-6.210000e-01	-5.621250e-01	
2.832031e+01	4.707031e+02	-6.232500e-01	-5.715000e-01	
2.929688e+01	4.697266e+02	-6.225000e-01	-5.793750e-01	
3.027344e+01	4.687500e+02	-6.213750e-01	-5.876250e-01	
3.125000e+01	4.677734e+02	-6.225000e-01	-5.958750e-01	
3.222656e+01	4.667969e+02	-6.228750e-01	-6.018750e-01	
3.320313e+01	4.658203e+02	-6.225000e-01	-6.086250e-01	
3.417969e+01	4.648438e+02	-6.228750e-01	-6.157500e-01	
3.515625e+01	4.638672e+02	-6.228750e-01	-6.210000e-01	
3.613281e+01	4.628906e+02	-6.221250e-01	-6.273750e-01	
3.710938e+01	4.619141e+02	-6.225000e-01	-6.303750e-01	
3.808594e+01	4.609375e+02	-6.228750e-01	-6.360000e-01	
3.906250e+01	4.599609e+02	-6.206250e-01	-6.416250e-01	
4.003906e+01	4.589844e+02	-6.221250e-01	-6.442500e-01	
4.101563e+01	4.580078e+02	-6.221250e-01	-6.352500e-01	
4.199219e+01	4.570313e+02	-6.213750e-01	-6.221250e-01	
4.296875e+01	4.560547e+02	-6.221250e-01	-6.251250e-01	
4.394531e+01	4.550781e+02	-6.228750e-01	-6.210000e-01	
4.492188e+01	4.541016e+02	-6.206250e-01	-6.232500e-01	
