filename,surface,region
F_1.spm-F4E1_ForceCurveIndex_0.spm,Group_A,1
F_1.spm-F4E1_ForceCurveIndex_1.spm,Group_A,1
F_1.spm-F4E1_ForceCurveIndex_10.spm,Group_A,1
F_1.spm-F4E1_ForceCurveIndex_2.spm,Group_A,1
F_1.spm-F4E1_ForceCurveIndex_3.spm,Group_A,1
F_1.spm-F4E1_ForceCurveIndex_4.spm,Group_A,1
F_1.spm-F4E1_ForceCurveIndex_5.spm,Group_A,1
F_1.spm-F4E1_ForceCurveIndex_6.spm,Group_A,1
F_1.spm-F4E1_ForceCurveIndex_7.spm,Group_A,1
F_1.spm-F4E1_ForceCurveIndex_8.spm,Group_A,1
F_1.spm-F4E1_ForceCurveIndex_9.spm,Group_A,1
F_2.spm-6034_ForceCurveIndex_1.spm,Group_A,2
F_2.spm-6034_ForceCurveIndex_10.spm,Group_A,2
F_2.spm-6034_ForceCurveIndex_2.spm,Group_A,2
F_2.spm-6034_ForceCurveIndex_3.spm,Group_A,2
F_2.spm-6034_ForceCurveIndex_4.spm,Group_A,2
F_2.spm-6034_ForceCurveIndex_5.spm,Group_A,2
F_2.spm-6034_ForceCurveIndex_6.spm,Group_A,2
F_2.spm-6034_ForceCurveIndex_7.spm,Group_A,2
F_2.spm-6034_ForceCurveIndex_8.spm,Group_A,2
F_2.spm-6034_ForceCurveIndex_9.spm,Group_A,2
P_1.spm-DDAF_ForceCurveIndex_1.spm,Group_B,1
P_1.spm-DDAF_ForceCurveIndex_10.spm,Group_B,1
P_1.spm-DDAF_ForceCurveIndex_2.spm,Group_B,1
P_1.spm-DDAF_ForceCurveIndex_3.spm,Group_B,1
P_1.spm-DDAF_ForceCurveIndex_4.spm,Group_B,1
P_1.spm-DDAF_ForceCurveIndex_5.spm,Group_B,1
P_1.spm-DDAF_ForceCurveIndex_6.spm,Group_B,1
P_1.spm-DDAF_ForceCurveIndex_7.spm,Group_B,1
P_1.spm-DDAF_ForceCurveIndex_8.spm,Group_B,1
P_1.spm-DDAF_ForceCurveIndex_9.spm,Group_B,1
P_2.spm-C418_ForceCurveIndex_1.spm,Group_B,2
P_2.spm-C418_ForceCurveIndex_10.spm,Group_B,2
P_2.spm-C418_ForceCurveIndex_2.spm,Group_B,2
P_2.spm-C418_ForceCurveIndex_3.spm,Group_B,2
P_2.spm-C418_ForceCurveIndex_4.spm,Group_B,2
P_2.spm-C418_ForceCurveIndex_5.spm,Group_B,2
P_2.spm-C418_ForceCurveIndex_6.spm,Group_B,2
P_2.spm-C418_ForceCurveIndex_7.spm,Group_B,2
P_2.spm-C418_ForceCurveIndex_8.spm,Group_B,2
P_2.spm-C418_ForceCurveIndex_9.spm,Group_B,2
P_3.spm-6674_ForceCurveIndex_1.spm,Group_B,3
P_3.spm-6674_ForceCurveIndex_10.spm,Group_B,3
P_3.spm-6674_ForceCurveIndex_2.spm,Group_B,3
P_3.spm-6674_ForceCurveIndex_3.spm,Group_B,3
P_3.spm-6674_ForceCurveIndex_4.spm,Group_B,3
P_3.spm-6674_ForceCurveIndex_5.spm,Group_B,3
P_3.spm-6674_ForceCurveIndex_6.spm,Group_B,3
P_3.spm-6674_ForceCurveIndex_7.spm,Group_B,3
P_3.spm-6674_ForceCurveIndex_8.spm,Group_B,3
P_3.spm-6674_ForceCurveIndex_9.spm,Group_B,3
silicon_wafer_1.spm-9022_ForceCurveIndex_1.spm,Group_C,1
silicon_wafer_1.spm-9022_ForceCurveIndex_10.spm,Group_C,1
silicon_wafer_1.spm-9022_ForceCurveIndex_2.spm,Group_C,1
silicon_wafer_1.spm-9022_ForceCurveIndex_3.spm,Group_C,1
silicon_wafer_1.spm-9022_ForceCurveIndex_4.spm,Group_C,1
silicon_wafer_1.spm-9022_ForceCurveIndex_5.spm,Group_C,1
silicon_wafer_1.spm-9022_ForceCurveIndex_6.spm,Group_C,1
silicon_wafer_1.spm-9022_ForceCurveIndex_7.spm,Group_C,1
silicon_wafer_1.spm-9022_ForceCurveIndex_8.spm,Group_C,1
silicon_wafer_1.spm-9022_ForceCurveIndex_9.spm,Group_C,1
silicon_wafer_2.spm-2658_ForceCurveIndex_1.spm,Group_C,2
silicon_wafer_2.spm-2658_ForceCurveIndex_10.spm,Group_C,2
silicon_wafer_2.spm-2658_ForceCurveIndex_2.spm,Group_C,2
silicon_wafer_2.spm-2658_ForceCurveIndex_3.spm,Group_C,2
silicon_wafer_2.spm-2658_ForceCurveIndex_4.spm,Group_C,2
silicon_wafer_2.spm-2658_ForceCurveIndex_5.spm,Group_C,2
silicon_wafer_2.spm-2658_ForceCurveIndex_6.spm,Group_C,2
silicon_wafer_2.spm-2658_ForceCurveIndex_7.spm,Group_C,2
silicon_wafer_2.spm-2658_ForceCurveIndex_8.spm,Group_C,2
silicon_wafer_2.spm-2658_ForceCurveIndex_9.spm,Group_C,2
silicon_wafer_3.spm-B182_ForceCurveIndex_1.spm,Group_C,3
silicon_wafer_3.spm-B182_ForceCurveIndex_10.spm,Group_C,3
silicon_wafer_3.spm-B182_ForceCurveIndex_2.spm,Group_C,3
silicon_wafer_3.spm-B182_ForceCurveIndex_3.spm,Group_C,3
silicon_wafer_3.spm-B182_ForceCurveIndex_4.spm,Group_C,3
silicon_wafer_3.spm-B182_ForceCurveIndex_5.spm,Group_C,3
silicon_wafer_3.spm-B182_ForceCurveIndex_6.spm,Group_C,3
silicon_wafer_3.spm-B182_ForceCurveIndex_7.spm,Group_C,3
silicon_wafer_3.spm-B182_ForceCurveIndex_8.spm,Group_C,3
silicon_wafer_3.spm-B182_ForceCurveIndex_9.spm,Group_C,3
Z_1.spm-F996_ForceCurveIndex_1.spm,Group_D,1
Z_1.spm-F996_ForceCurveIndex_10.spm,Group_D,1
Z_1.spm-F996_ForceCurveIndex_2.spm,Group_D,1
Z_1.spm-F996_ForceCurveIndex_3.spm,Group_D,1
Z_1.spm-F996_ForceCurveIndex_4.spm,Group_D,1
Z_1.spm-F996_ForceCurveIndex_5.spm,Group_D,1
Z_1.spm-F996_ForceCurveIndex_6.spm,Group_D,1
Z_1.spm-F996_ForceCurveIndex_7.spm,Group_D,1
Z_1.spm-F996_ForceCurveIndex_8.spm,Group_D,1
Z_1.spm-F996_ForceCurveIndex_9.spm,Group_D,1
Z_2.spm-8637_ForceCurveIndex_1.spm,Group_D,2
Z_2.spm-8637_ForceCurveIndex_10.spm,Group_D,2
Z_2.spm-8637_ForceCurveIndex_2.spm,Group_D,2
Z_2.spm-8637_ForceCurveIndex_3.spm,Group_D,2
Z_2.spm-8637_ForceCurveIndex_4.spm,Group_D,2
Z_2.spm-8637_ForceCurveIndex_5.spm,Group_D,2
Z_2.spm-8637_ForceCurveIndex_6.spm,Group_D,2
Z_2.spm-8637_ForceCurveIndex_7.spm,Group_D,2
Z_2.spm-8637_ForceCurveIndex_8.spm,Group_D,2
Z_2.spm-8637_ForceCurveIndex_9.spm,Group_D,2
