approach_displacement	approach_deflection	retract_displacement	retract_deflection
0	12.612850000000002	0.1272526	16.08316
0.0811298	12.64329	0.2083824	16.08316
0.1622596	12.58241	0.2895122	16.04257
0.2433894	12.420050000000002	0.3706419	16.022280000000002
0.3245192	12.40991	0.4517717	15.97154
0.405649	12.38961	0.5329015	15.95125
0.4867788	12.227260000000001	0.6140313	15.84978
0.5679086	12.12579	0.6951611	15.7686
0.6490384	12.14608	0.7762909	15.79904
0.7301682	12.15623	0.8574207	15.71786
0.811298	12.054760000000002	0.9385505	15.5961
0.8924277	12.00402	1.01968	15.5758
0.9735575	11.993879999999999	1.10081	15.54536
1.054687	11.902550000000002	1.18194	15.47433
1.135817	11.86196	1.26307	15.413450000000001
1.216947	11.69961	1.344199	15.36271
1.298077	11.65902	1.425329	15.31198
1.379207	11.648869999999999	1.506459	15.271389999999998
1.460336	11.58799	1.587589	15.21051
1.541466	11.50682	1.668719	15.20036
1.622596	11.49667	1.749848	15.13948
1.703726	11.395199999999999	1.830978	15.098889999999999
1.784855	11.40534	1.912108	15.06845
1.865985	11.33431	1.993238	14.966980000000001
1.947115	11.2024	2.074368	14.91624
2.028245	11.25314	2.155497	14.80462
2.109375	11.242989999999999	2.236627	14.80462
2.190505	11.15167	2.317757	14.72345
2.271634	11.171959999999999	2.398887	14.70315
2.352764	11.00961	2.480016	14.61183
2.433894	11.00961	2.561146	14.55095
2.515024	10.92843	2.642276	14.55095
2.596153	10.87769	2.723406	14.490060000000001
2.677283	10.87769	2.804536	14.46977
2.758413	10.837110000000001	2.885665	14.378440000000001
2.839543	10.77622	2.966795	14.31756
2.920673	10.74578	3.047925	14.276969999999999
3.001802	10.67475	3.129055	14.14506
3.082932	10.63416	3.210185	14.07403
3.164062	10.55299	3.291314	14.07403
3.245192	10.4921	3.372444	14.013150000000001
3.326322	10.431220000000001	3.453574	13.96241
3.407451	10.350050000000001	3.534704	13.871089999999999
3.488581	10.18769	3.615834	13.84065
3.569711	10.1471	3.6969630000000002	13.830499999999999
3.650841	10.13696	3.778093	13.72903
3.731971	10.12681	3.859223	13.658
3.8131	10.07607	3.940353	13.62756
3.89423	9.984749	4.021482	13.55653
3.97536	9.883278	4.102612	13.52609
4.05649	9.944161000000001	4.183743	13.55653
4.13762	9.893425	4.264873	13.495650000000001
4.21875	9.812249000000001	4.346003	13.384030000000001
4.29988	9.751366	4.427133	13.32315
4.38101	9.690483	4.508263	13.27241
4.46214	9.639747999999999	4.589393	13.25212
4.54327	9.629601000000001	4.670523	13.13035
4.6244	9.548424	4.751653	13.13035
4.70553	9.467247	4.832783	13.07962
4.78666	9.487542	4.913913	12.99844
4.86779	9.446953	4.995043	12.968
4.94892	9.396218	5.076173	12.89697
5.03005	9.365776	5.157303	12.836089999999999
5.11118	9.345481999999999	5.238433	12.76506
5.19231	9.203422	5.319563	12.744760000000001
5.27344	9.162834	5.400693	12.64329
5.35457	9.081657	5.481823	12.6027
